Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2015-07-27,6.69,27.66,17.8,9.86,19.19
2015-07-28,6.63,28.3,17.1,10.45,19.3
2015-07-29,6.92,29.98,17.66,10.8,19.81
2015-07-30,6.64,29.55,17.0,10.45,19.12
2015-07-31,6.79,30.03,17.0,10.55,19.27
2015-08-03,7.23,30.68,17.43,11.08,19.79
2015-08-04,7.25,31.8,17.85,11.22,20.08
2015-08-05,7.07,30.53,17.58,10.76,19.42
2015-08-06,6.88,30.05,17.48,10.67,19.39
2015-08-07,7.02,30.12,17.71,10.74,19.57
2015-08-10,7.72,31.49,19.22,11.26,20.31
2015-08-11,7.75,30.97,19.78,11.08,20.06
2015-08-12,7.71,29.98,20.79,10.98,19.84
2015-08-13,7.74,30.29,20.57,11.2,20.05
2015-08-14,7.61,30.65,20.32,11.08,19.83
2015-08-17,7.77,31.39,19.81,11.15,19.57
2015-08-18,6.99,29.01,17.84,10.23,18.26
2015-08-19,7.48,29.55,17.88,10.35,18.36
2015-08-20,7.13,28.82,17.16,10.16,17.89
2015-08-21,6.8,27.05,17.0,9.71,16.99
2015-08-24,6.11,24.32,15.32,8.74,15.4
2015-08-25,5.5,21.89,13.79,7.91,14.12
2015-08-26,5.18,22.5,13.9,7.85,15.02
2015-08-27,5.38,24.01,14.5,8.29,16.52
2015-08-28,5.73,25.16,15.32,8.77,16.98
2015-08-31,5.7,24.82,15.56,9.06,17.35
2015-09-01,5.92,24.0,15.98,9.46,17.44
2015-09-02,6.24,24.13,16.58,10.31,17.91
2015-09-07,5.98,23.54,15.3,9.36,16.85
2015-09-08,6.06,24.39,15.3,9.5,17.05
2015-09-09,6.17,25.15,15.56,9.52,17.17
2015-09-10,6.02,24.61,15.6,9.4,17.16
2015-09-11,5.98,24.03,15.34,9.22,17.14
2015-09-14,6.05,23.89,15.82,8.99,17.6
2015-09-15,5.67,22.57,15.23,8.72,17.48
2015-09-16,6.0,24.05,15.92,9.28,18.34
2015-09-17,5.83,23.29,15.26,8.97,17.46
2015-09-18,5.83,23.19,15.22,8.97,17.31
2015-09-21,5.86,23.53,15.35,9.09,17.32
2015-09-22,5.92,23.8,15.54,9.14,17.38
2015-09-23,5.7,23.77,14.91,8.82,16.55
